No,Barcode,HBM,Core,Channel,Bank,Failed_Test,failed_address,failed_address_count,Fail_mode,CDC-SID0,CDC-SID1,CDC-SID2,PFA,Report,Status,Defect_type_Log,Defect_location_Log,Defect_type_PFA,Defect_location_PFA,Assessment
127,TZNBYA43LC416TS10011,B,4,P0,J0,March,[0x3049],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Functional,,,,
128,TZNBYA43LC416TS10011,B,4,P0,K0,March,[0x2405],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Functional,,,,
129,TZNBYA43LC416TS10011,B,4,P1,I1,March & Scan,[0x3b6e],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Functional,,,,
130,TZNBYA43LC416TS10011,B,4,P1,J1,March & Scan,"[0x2f65, 0x18d5]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Functional,,,,
131,TZNBYA43LC416TS10011,B,4,P1,K1,March & Scan,[0xd2f],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Functional,,,,
132,TZNBYA52LV416LS10030,E,5,C0,A0,March & Scan,"[0x0, 0x16, 0xc, 0x4, 0x1c, 0x2, 0xa, 0x12, 0x1e, 0x6, 0x18, 0x8, 0x14, 0x1a, 0xe, 0x10]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Die edge crack,Right_1,,,
133,TZNBYA52LV416LS10030,E,5,D0,A0,March & Scan,"[0x0, 0x16, 0xc, 0x4, 0x1c, 0x2, 0xa, 0x12, 0x1e, 0x6, 0x18, 0x8, 0x14, 0x1a, 0xe, 0x10]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\E_PreconMSL4_TCJ\T210,,Die edge crack,Right_1,,,
134,TZNBYA12LT415LS10017,C,2,H0,N0,Scan,[0x5e4],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\F_TCJ10,,Functional,,,,
135,TZNBYA12LT415LS10017,F,12,O1,F1,Scan,[0xb20],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\F_TCJ10,,Functional,,,,
136,TZNBYA12LT415LS10017,F,12,P0,A0,Scan,[0x3879],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\F_TCJ10,,Functional,,,,
137,TZNBVV85LS416LS10016,H,11,K1,B1,Scan,[0x1fa3],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
138,TZNBVV85LS416LS10016,H,11,L1,D1,Scan,[0xb5b],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
139,TZNBVV99LA413LS10012,H,1,D0,G0,Scan,[0x1afb],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
140,TZNBVW01LD413LS10025,F,12,P0,A0,Scan,[0x16af],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
141,TZNBVW01LS413LS10027,B,12,P1,F1,Scan,[0x358c],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
142,TZNBVW01LS413LS10027,H,11,I0,C0,Scan,[0x1aac],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
143,TZNBVW01LS413LS10027,H,11,I1,C1,Scan,[0x3dad],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
144,TZNBVW01LS413LS10027,H,11,J0,K0,Scan,[0x2f03],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
145,TZNBVW01LS413LS10027,H,11,J1,G1,Scan,[0x16fd],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
146,TZNBVW01LS413LS10027,H,11,K0,H0,Scan,[0x2451],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
147,TZNBVW01LS413LS10027,H,11,K1,D1,Scan,[0x1b3c],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
148,TZNBVW01LS413LS10027,H,11,L0,A0,Scan,[0x28ec],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
149,TZNBVW04L9413LS10002,B,5,C1,M1,Scan,[0x2a7b],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
150,TZNBVW05LD413LS10025,D,12,N0,H0,Scan,[0x2e91],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
151,TZNBVW06MF416LS10029,H,3,K1,B1,Scan,[0x3971],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
152,TZNBVW12LN414LS10004,C,7,I1,O1,Scan,[0x1794],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
153,TZNBVW13MS415LS10022,A,7,I0,M0,March & Scan,"[0x402, 0x1a, 0x12, 0xa, 0x40a, 0x2, 0x414, 0x416, 0x404, 0xc, 0x0, 0x10, 0x1e, 0x406, 0x408, 0x412, 0x1c, 0x18, 0x8, 0x40c, 0x400, 0x410, 0x41c, 0x41a, 0x40e, 0x4, 0x41e, 0x418, 0x14, 0x16, 0x6, 0xe]",32,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
154,TZNBYA12LS415LS10018,F,3,I0,G0,Scan,[0x3031],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
155,TZNBYA28MC416LS10026,F,12,M0,H0,Scan,[0x1c20],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
156,TZNBYA28MC416LS10026,F,12,O1,G1,Scan,[0x1ef5],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
157,TZNBYA31LV416LS10029,D,10,E0,F0,Scan,[0x31c4],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
158,TZNBYA40LF416TS10007,G,5,C0,H0,Scan,[0x60f],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
159,TZNBYA43L8416TS10013,D,3,L1,E1,Scan,[0x175e],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
160,TZNBYA52M2416LS10030,B,11,I0,E0,Scan,[0x208d],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
161,TZNBYA52M2416LS10030,B,11,J1,M1,Scan,[0xe00],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
162,TZNBYA52M2416LS10030,B,12,N0,F0,Scan,[0xf0a],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Functional,,,,
163,TZNBYA57LH417TS10026,D,3,I0,I0,March & Scan,"[0x8, 0xc, 0x0, 0x10, 0x1a, 0x1e, 0x4, 0x12, 0xa, 0x2, 0x14, 0x16, 0x6, 0xe, 0x1c, 0x18]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\G_TCJ20,,Die edge crack,Left_2,,,
164,TZNBVV89M3416LS10027,F,12,M1,H1,Scan,[0x2348],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\H_TCJ30,,Functional,,,,
165,TZNBVV89M3416LS10027,F,12,N0,C0,Scan,[0xb50],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\H_TCJ30,,Functional,,,,
166,TZNBVV89M3416LS10027,F,12,O1,G1,Scan,"[0x2e2b, 0x277b]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\H_TCJ30,,Functional,,,,
167,TZNBVW14LC414LS10002,E,6,E0,I0,March & Scan,"[0x8, 0xc, 0x0, 0x10, 0x1a, 0x1e, 0x4, 0x12, 0xa, 0x2, 0x14, 0x16, 0x6, 0xe, 0x1c, 0x18]",16,Gross,,,,Done,"MI300_SLT_fails_at_FT_TCJTCK_fails\H_TCJ30, FA2024-0183",,Die edge crack,Left_2,Die Edge crack & Delamination,Left_2,
168,TZNBVW14LC414LS10002,E,6,F0,I0,March & Scan,"[0x8, 0xc, 0x0, 0x10, 0x1a, 0x1e, 0x4, 0x12, 0xa, 0x2, 0x14, 0x16, 0x6, 0xe, 0x1c, 0x18]",16,Gross,,,,Done,"MI300_SLT_fails_at_FT_TCJTCK_fails\H_TCJ30, FA2024-0183",,Die edge crack,Left_2,Die Edge crack & Delamination,Left_2,
169,TZNBVV98MF416LS10029,E,4,O0,A0,March & Scan,"[0x8, 0xc, 0x0, 0x10, 0x1a, 0x1e, 0x4, 0x12, 0xa, 0x2, 0x14, 0x16, 0x6, 0xe, 0x1c, 0x18]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\I_TCJ_75,,Die edge crack,Right_1,,,
170,TZNBVV98MF416LS10029,E,4,P0,A0,March & Scan,"[0x8, 0xc, 0x0, 0x10, 0x1a, 0x1e, 0x4, 0x12, 0xa, 0x2, 0x14, 0x16, 0x6, 0xe, 0x1c, 0x18]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\I_TCJ_75,,Die edge crack,Right_1,,,
171,TZNBYM48LX416LS10007,D,5,A0,A0,March & Scan,"[0x8, 0xc, 0x0, 0x10, 0x1a, 0x1e, 0x4, 0x12, 0xa, 0x2, 0x14, 0x16, 0x6, 0xe, 0x1c, 0x18]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\I_TCJ_75,,Die edge crack,Left_1,,,
172,TZNBYM48LX416LS10007,D,5,A0,A0,March & Scan,"[0x8, 0xc, 0x0, 0x10, 0x1a, 0x1e, 0x4, 0x12, 0xa, 0x2, 0x14, 0x16, 0x6, 0xe, 0x1c, 0x18]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\I_TCJ_75,,Die edge crack,Left_1,,,
173,TZNBVV44LC414LS10017,B,12,M0,F0,Scan,[0xf67],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
174,TZNBVV44LC414LS10017,D,11,K0,C0,Scan,[0x3266],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
175,TZNBVV46LJ413LS10023,C,3,K0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Die edge crack,Right_2,,,
176,TZNBVV46LJ413LS10023,C,3,L0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Die edge crack,Right_2,,,
177,TZNBVV68M1413LS10019,B,12,O1,H1,Scan,[0x2140],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
178,TZNBVV75MJ413LS10014,H,3,L1,E1,March & Scan,[0x0],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
179,TZNBVV75MM413LS10026,H,12,M0,L0,Scan,[0x247f],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
180,TZNBVV75MM413LS10026,H,12,N1,E1,Scan,[0x1466],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
181,TZNBVV75MM413LS10026,H,12,P0,P0,Scan,[0x3f8e],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
182,TZNBVV76LE413LS10019,B,12,N0,D0,Scan,[0x3cfe],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
183,TZNBVV76LE413LS10019,B,12,O1,C1,Scan,[0xca7],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
184,TZNBVV76LE413LS10019,B,12,P0,E0,Scan,[0x2247],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
185,TZNBVV77M6414LS10017,F,12,N1,G1,Scan,[0x1868],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
186,TZNBVV77M9414LS10009,F,12,M0,C0,Scan,[0x2ec8],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
187,TZNBVV77M9414LS10009,F,12,M0,P0,Scan,[0x2bfd],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
188,TZNBVV77M9414LS10009,F,12,N0,I0,Scan,[0x32b7],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
189,TZNBVV77M9414LS10009,F,12,N1,A1,Scan,[0x37e1],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
190,TZNBVW01LM413LS10027,A,8,O0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Die edge crack,Right_2,,,
191,TZNBVW01LM413LS10027,A,8,P0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Die edge crack,Right_2,,,
192,TZNBVW04LA413LS10017,A,7,J1,M1,March & Scan,"[0x2277, 0x272, 0x2273, 0x273, 0x277, 0x2272, 0x271, 0x2271]",8,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
193,TZNBVW04LC413LS10001,F,11,I0,A0,Scan,[0x7e1],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
194,TZNBVW04LC413LS10001,F,11,I0,G0,Scan,[0x2444],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
195,TZNBVW04LC413LS10001,F,11,J1,E1,Scan,[0x2b84],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
196,TZNBVW04LC413LS10001,F,11,L0,H0,Scan,[0x802],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
197,TZNBVW10M0414LS10023,C,6,G0,A0,Scan,[0x1ceb],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
198,TZNBVW11LR414LS10018,F,3,K1,F1,Scan,[0x160e],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
199,TZNBVW12LV414LS10005,G,11,K1,P1,Scan,[0x112d],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
200,TZNBWR05LZ414LS10027,A,3,K1,O1,Scan,[0x29c4],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
201,TZNBXH74L9414LS10023,H,12,M1,C1,Scan,[0x11fd],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\J_PreconMSL4_TCG,,Functional,,,,
202,TZNBVV46LD413LS10014,D,3,I0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Die edge crack,Left_2,,,
203,TZNBVV46LD413LS10014,D,3,J0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Die edge crack,Left_2,,,
204,TZNBVV62MF413LS10013,A,5,C0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Die edge crack,Right_2,,,
205,TZNBVV62MF413LS10013,A,5,D0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Die edge crack,Right_2,,,
206,TZNBVV69MR413LS10021,G,6,E0,A0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Die edge crack,Left_1,,,
207,TZNBVV69MR413LS10021,G,6,F0,A0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Die edge crack,Left_1,,,
208,TZNBVV76LN413LS10029,E,6,G0,A0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Die edge crack,Right_1,,,
209,TZNBVV76LN413LS10029,E,6,H0,A0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Die edge crack,Right_1,,,
210,TZNBVW11LV414LS10024,D,10,E1,C1,Scan,[0x221d],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Functional,,,,
211,TZNBVW11LV414LS10024,D,10,F1,A1,Scan,[0x3b12],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Functional,,,,
212,TZNBVW11LV414LS10024,D,10,G1,O1,Scan,[0x1eaa],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Functional,,,,
213,TZNBVW11LV414LS10024,D,10,H0,K0,Scan,[0x1db1],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Functional,,,,
214,TZNBVW11LV414LS10024,D,10,H1,D1,Scan,[0x3886],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Functional,,,,
215,TZNBVW14L7414LS10010,H,12,O0,E0,Scan,[0x255],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Functional,,,,
216,TZNBXH73LA414LS10006,E,5,A0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Die edge crack,Left_1,,,
217,TZNBXH73LA414LS10006,E,5,B0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\K_TCG10,,Die edge crack,Left_1,,,
218,TZNBVV46LE413LS10029,B,4,M0,A0,March,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x1, 0x16, 0x8, 0x12, 0x4, 0x1a]",16,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Functional,,,,
219,TZNBVV46LE413LS10029,B,4,M0,E0,Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Functional,,,,
220,TZNBVV46LE413LS10029,B,4,N0,A0,March,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x1, 0x16, 0x8, 0x12, 0x4, 0x1a]",16,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Functional,,,,
221,TZNBVV76LE413LS10029,G,3,I0,A0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,"Power, Die edge crack","Left_1, Right_1",,,
222,TZNBVV76LE413LS10029,G,3,I0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x1, 0x16, 0x8, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,"Power, Die edge crack","Left_1, Right_1",,,
223,TZNBVV76LE413LS10029,G,3,J0,A0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,"Power, Die edge crack","Left_1, Right_1",,,
224,TZNBVV76LE413LS10029,G,3,J0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x1, 0x16, 0x8, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,"Power, Die edge crack","Left_1, Right_1",,,
225,TZNBVV76LE413LS10029,G,3,K0,A0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,"Power, Die edge crack","Left_1, Right_1",,,
226,TZNBVV76LE413LS10029,G,3,L0,A0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,"Power, Die edge crack","Left_1, Right_1",,,
227,TZNBVV76LH413LS10016,G,3,K0,J0,March & Scan,[0x2fb4],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Functional,,,,
228,TZNBVV76LH413LS10016,G,3,K0,K0,March & Scan,"[0x2f6f, 0x14b9]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Functional,,,,
229,TZNBVV76LH413LS10016,G,3,K1,I1,March & Scan,[0x3716],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Functional,,,,
230,TZNBVV76LH413LS10016,G,3,K1,K1,March,"[0x340e, 0x3d61]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Functional,,,,
231,TZNBVV76LH413LS10016,G,3,K1,L1,March & Scan,[0x1c3e],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Functional,,,,
232,TZNBVV76LH413LS10016,G,3,L0,I0,March & Scan,"[0x31a6, 0x7ff, 0x253d]",3,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Functional,,,,
233,TZNBVV76LH413LS10016,G,3,L0,J0,March & Scan,"[0x16bc, 0x1668]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Functional,,,,
234,TZNBVV76LH413LS10016,G,3,L0,L0,March & Scan,[0x7f8],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Functional,,,,
235,TZNBVV76LH413LS10016,G,3,L1,K1,March & Scan,[0x3c13],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Functional,,,,
236,TZNBVV76LH413LS10016,H,4,O0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Die edge crack,Right_2,,,
237,TZNBVV76LH413LS10016,H,4,P0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Die edge crack,Right_2,,,
238,TZNBVV77M8414LS10027,D,7,I0,I0,March & Scan,"[0xa, 0x18, 0x10, 0x1e, 0xe, 0x2, 0x1c, 0x14, 0x6, 0xc, 0x16, 0x8, 0x0, 0x12, 0x4, 0x1a]",16,Gross,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\L_TCG20,,Die edge crack,Left_2,,,
