No,Barcode,HBM,Core,Channel,Bank,Failed_Test,failed_address,failed_address_count,Fail_mode,CDC-SID0,CDC-SID1,CDC-SID2,PFA,Report,Status,Defect_type_Log,Defect_location_Log,Defect_type_PFA,Defect_location_PFA,Assessment
29,TZNBYA13LC416TS10005,D,3,I1,O1,Scan,[0x19d],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00917,,Functional,,,,
30,TZNBYA13LC416TS10005,D,3,J1,E1,Scan,[0x22c3],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00917,,Functional,,,,
31,TZNBYA13LC416TS10005,D,7,K1,G1,Scan,[0x2aca],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00917,,Functional,,,,
32,TZNBYA13LC416TS10005,D,8,P0,D0,Scan,[0x2aa3],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00917,,Functional,,,,
33,TZNBVV46LE413LS10006,B,1,C1,F1,Scan,[0x27e0],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00917,,Functional,,,,
34,TZNBVV46LE413LS10006,B,4,N1,F1,Scan,[0x3c1],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00917,,Functional,,,,
35,TZNBVW05LD413LS10019,D,5,C0,K0,Scan,[0x21fc],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00917,,Functional,,,,
36,TZNBVW05LD413LS10019,D,5,D0,L0,March & Scan,"[0x623, 0x2913]",2,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00917,,Functional,,,,
37,TZNBVW05LD413LS10019,D,5,D1,I1,Scan,[0x2498],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00917,,Functional,,,,
38,TZNBVV76LE413LS10025,H,2,E1,A1,Scan,[0x26b1],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00917,,Functional,,,,
39,TZNBVV76LE413LS10025,H,3,I1,D1,Scan,[0x3f8e],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00917,,Functional,,,,
40,TZNBVV76LE413LS10025,H,6,F1,H1,Scan,[0x344],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00917,,Functional,,,,
41,TZNBVV68M8413LS10020,D,1,B1,A1,Scan,[0x186c],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00918,,Functional,,,,
42,TZNBVV68M8413LS10020,D,2,E1,H1,Scan,[0x36b2],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00918,,Functional,,,,
43,TZNBVV68M8413LS10020,D,6,E0,G0,Scan,[0x23ea],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00918,,Functional,,,,
44,TZNBVV68M8413LS10020,D,2,E1,H1,Scan,[0x36b2],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00918,,Functional,,,,
45,TZNBVV68M8413LS10020,D,5,D1,G1,Scan,[0x2939],1,cell,,,,,MI300_SLT_fails_at_FT_TCJTCK_fails\A_T0\VS00918,,Functional,,,,
